index,linkPoster,name,role,time,content,content_img,linkPost,status
11,No link,Người tham gia ẩn danh,Thành viên,22 giờ,Người ta nhắn kiểu gì mà yêu nhau được nhỉ em rất thắc mắc??,No picture,https://www.facebook.com/groups/ued.confessions/posts/ng%C6%B0%E1%BB%9Di-ta-nh%E1%BA%AFn-ki%E1%BB%83u-g%C3%AC-m%C3%A0-y%C3%AAu-nhau-%C4%91%C6%B0%E1%BB%A3c-nh%E1%BB%89-em-r%E1%BA%A5t-th%E1%BA%AFc-m%E1%BA%AFc/2053809581801367/?__cft__[0]=AZWAxrTGmGWqCK6ugw2rayHzQYVZ8Hpw8SNYmMjkrMjDwxFm5jROA3BrNCoXcjyVFAmHWgneVqb4ZF3SL_J1lmw365v85ceZUy8HIPIZsUudXAu9vBCUSNiV4YQ7P3MqH-ZTowtRYt7JRxVj5XfZATGUaGawqEgSOhhmdEUuWNkgU8o5M-XIzJXKAXHS0WrVm4X9C44vk2g1vFknw-z6_zL7wTybUzxnZ_Xdgkbuhz-Emw&__tn__=%2CO%2CP-R,Success
12,No link,Người tham gia ẩn danh,Thành viên,22 giờ,"Người yêu mình tử tế với người ngoài, nhưng làm mình buồn thì phải làm sao ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/ng%C6%B0%E1%BB%9Di-y%C3%AAu-m%C3%ACnh-t%E1%BB%AD-t%E1%BA%BF-v%E1%BB%9Bi-ng%C6%B0%E1%BB%9Di-ngo%C3%A0i-nh%C6%B0ng-l%C3%A0m-m%C3%ACnh-bu%E1%BB%93n-th%C3%AC-ph%E1%BA%A3i-l%C3%A0m-sao-%E1%BA%A1-/2053809651801360/?__cft__[0]=AZW1nXJBb5J7l4mg2lHwedajMWMx76PwXkw_zNqCIFuEDwUdFj6bRZ_bI9WuYqvH9WrlTDtgt4aa_pn3pn2F-YtpgbiJa5xuxfBIqVfKE8n1PsLM0V0vpM9cvJtFJ2l6oBEfsjdEjcjEazpVg2O4jfrpFwhWo8_xppBLRrauRXN-ngz79HRYcIJ6DKYLgdcSm8Cx1oWqdrSEuad6I0DojNbGXJoSy5Ihm0IwmGWaJK1XUw&__tn__=%2CO%2CP-R,Success
13,No link,Người tham gia ẩn danh,Thành viên,22 giờ,"Yêu bạn ny nhỏ tuổi hơn, không suy nghĩ tương lai, còn đi học hay ảo tưởng tính sao ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/everyone/2053824785133180/?__cft__[0]=AZXShT7xFg58xB2EPvhxbQk5GdQtjcuf7Mr4RmFnXzeIY7e5JX3lX6_QQ9TsbvRI5pWbvJ72PDcfjGNbf39bs3ruJO5-jfKCOa7rhky58fjQQQMipkoubimXTc_IY-CF2NZ6nApH6HxPgey8Uxmo-bkSzQpqPCWcURl6uOsCBz55xSgiy5E7v9zSl2c6n9n3kd0UVQPTO3qdmYAsikQuAmDKUGdkX6HxXk8e1zSS6L762A&__tn__=%2CO%2CP-R,Success
14,No link,Người tham gia ẩn danh,Thành viên,17 giờ,"Ai pass đàn piano or organ giá rẻ k ạ
E có nhu cầu cần để thi vào sp âm nhạc trường mình ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/ai-pass-%C4%91%C3%A0n-piano-or-organ-gi%C3%A1-r%E1%BA%BB-k-%E1%BA%A1-e-c%C3%B3-nhu-c%E1%BA%A7u-c%E1%BA%A7n-%C4%91%E1%BB%83-thi-v%C3%A0o-sp-%C3%A2m-nh%E1%BA%A1c-tr%C6%B0/2053981265117532/?__cft__[0]=AZUECvLxz_250TtTCK29acsVFbuIHGQ-AtLHKWJpd-UfHdtc5gGTFlKuwZwqz3smCIokCMRfInQaTdL1d3pvPpVEVCKg1d0u3FSnwfFvE1k0zsgA7RRATr2DX3Iq1Jz59Lw-cHZ85v1KOlJmwnnQn3ImRD-MD3i3bl7w_GPH3aYV4mLx-cWXDCaeu5KnMHoFUmiCeNS2dhlPrNlFL1skbRBQWRM7CjJARjknEPwrGcs6lw&__tn__=%2CO%2CP-R,Success
15,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Năm mấy là học nghiệp vụ sp đc vậy ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/n%C4%83m-m%E1%BA%A5y-l%C3%A0-h%E1%BB%8Dc-nghi%E1%BB%87p-v%E1%BB%A5-sp-%C4%91c-v%E1%BA%ADy-%E1%BA%A1/2053922308456761/?__cft__[0]=AZWi9jVkzzvcIKxuTIcPu4u0reeiLiFunBxsowkjFF2tj7Ss0qwlCTsMpfc_tGaqmH_cYWuXsetHys7MXzC24bfKnlfMk73m5fO2LME_OJZLaJKms_V1ckYvr0SbYB55jqazLoj2wKog71iErg8_1c0qimJh7rbWVt4wgTWfGQbVYLNgLCbtwcydVgZKT7zqIzrMpOFXAVqXaXZ0YWljHNBxMLP1PJ2lm_I_7GNM0RQ9DA&__tn__=%2CO%2CP-R,Success
16,No link,Người tham gia ẩn danh,Thành viên,20 giờ,Dạ mn cho e hỏi xét điểm học bạ năm 2022 vào năm sau được không ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/d%E1%BA%A1-mn-cho-e-h%E1%BB%8Fi-x%C3%A9t-%C4%91i%E1%BB%83m-h%E1%BB%8Dc-b%E1%BA%A1-n%C4%83m-2022-v%C3%A0o-n%C4%83m-sau-%C4%91%C6%B0%E1%BB%A3c-kh%C3%B4ng-%E1%BA%A1/2053880361794289/?__cft__[0]=AZUCyMbktJsRSkMAPOcGCmDwlsBXyfUAjECQsxJvTWnxyFuGbqWuoJAAkb9rD-NFr8HBIXR8JCI-U3_5ZTHR6LmI6UH0-lOiS9SV2_jYbd6KxEw6XIhEOCsf7GIOJcWVsaswlsP-9CTFsx7OzkZWM9MLvcp8HbljODAVpV0uyNoy9fK-6EhNrMVp9h3YIzI_e07Vxf4qIFM8Qb29sje-WrKz-hbP_ErK42Uvy4ZBypA72A&__tn__=%2CO%2CP-R,Success
17,No link,Người tham gia ẩn danh,Thành viên,22 giờ,"bạn cùng phòng k biết nấu ăn , nhắc mới làm , mặc quần áo của mình k xin phép, ăn đâu để đó nói xấu em nữa thì nên nói gì ạ , chứ em sợ mất lòng bạn bè dù mới ở cùng nhau 1 tháng ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/b%E1%BA%A1n-c%C3%B9ng-ph%C3%B2ng-k-bi%E1%BA%BFt-n%E1%BA%A5u-%C4%83n-nh%E1%BA%AFc-m%E1%BB%9Bi-l%C3%A0m-m%E1%BA%B7c-qu%E1%BA%A7n-%C3%A1o-c%E1%BB%A7a-m%C3%ACnh-k-xin-ph%C3%A9p-%C4%83n-%C4%91%C3%A2u/2053809865134672/?__cft__[0]=AZUdeFk4TBVb36QECjPgStH63Vw3LyvDpJ1b7pQUFXpF-UqnzfPa9SRx9TKRiBYzvpZDiRIj7PkH3hffINtPH0Tm7UQ4RLBa3rbyh1s7eGa7CQ9i-5IfZ7Qjo4xwSAFFneWkFkc6PqOgg2eKSkaENQs1q80JNdMOvozO2fprt6CBehdRsAdUWvk6eFp7hfOQe5RaLvCrjGT3IGYyi7UervupQw-GOwdLpEs0KbL2BDW9oQ&__tn__=%2CO%2CP-R,Success
18,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 08:59,Mưa vậy không biết anh nào lái xe qua chở đi cf k nhỉ,No picture,https://www.facebook.com/groups/ued.confessions/posts/m%C6%B0a-v%E1%BA%ADy-kh%C3%B4ng-bi%E1%BA%BFt-anh-n%C3%A0o-l%C3%A1i-xe-qua-ch%E1%BB%9F-%C4%91i-cf-k-nh%E1%BB%89/2053606081821717/?__cft__[0]=AZUaQ1JjgTc1mEI2QYri35EVL3OixA5vb1C-xNaZS-ju8nTFLs7NS81c8xIFCOT8rvUdLGq-RO5BV_g_r35GcQ8A5LYAk60UFlxFrSPU2k35CD_lOG8w6SnNzs_VYCuGdTmZ6G8I-VyQlFXwOSVztM_JFkDm0-7OTCChgy4s6LjBvKs2sWWiIQyOXqWiA4GmAKVBORI5QzFpEEazuKDnOQlYuBm9cq1WR6lg7U65pC3d9A&__tn__=%2CO%2CP-R,Success
19,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 11:54,Cho em hỏi ở quanh khu vực trường mình có chỗ nào sửa đồ mặc không ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/cho-em-h%E1%BB%8Fi-%E1%BB%9F-quanh-khu-v%E1%BB%B1c-tr%C6%B0%E1%BB%9Dng-m%C3%ACnh-c%C3%B3-ch%E1%BB%97-n%C3%A0o-s%E1%BB%ADa-%C4%91%E1%BB%93-m%E1%BA%B7c-kh%C3%B4ng-%E1%BA%A1/2053697688479223/?__cft__[0]=AZUCLMRjqTePSLedBOR2k8mLFrY1TOEsGd-EBNp3Lubtk5iKxvUfGS0uJUat-63xoAWJViWB8GMSPkjGwqJ_APH3M2B6-ww45QddT_1NlVYk1cfny0ZUfdP4Y8WX4lytTvuKt8p5JjXbQKMywJ89GDTFVRz5r8BpEgylJNGyekoBIwIX-NYVgvaIbnAj2btl7EZGaFZ7PD00XHPpa22iqVCd7G4irXbUw7MjYFu2rTLvrA&__tn__=%2CO%2CP-R,Success
20,No link,Người tham gia ẩn danh,Thành viên,11 tháng 11 lúc 14:43,Mọi người cho em hỏi là em có cần phải đóng thêm 576k nữa không ạ em cảm ơn ạ,{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/466492560_921262036072342_4148498296654166935_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=dmM7HALOcekQ7kNvgFKpAKm&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=A8HOIO5Xux6Q4lhhL4yC13t&oh=00_AYCYLKSt7ntxvN9iBun_l04KGRYqiSolcBGMsuYmg5Qc7w&oe=673A1A4B'},https://www.facebook.com/groups/ued.confessions/posts/m%E1%BB%8Di-ng%C6%B0%E1%BB%9Di-cho-em-h%E1%BB%8Fi-l%C3%A0-em-c%C3%B3-c%E1%BA%A7n-ph%E1%BA%A3i-%C4%91%C3%B3ng-th%C3%AAm-576k-n%E1%BB%AFa-kh%C3%B4ng-%E1%BA%A1-em-c%E1%BA%A3m-%C6%A1n-%E1%BA%A1/2052991261883199/?__cft__[0]=AZUV16EHOU5DNzN9eDICQx6L1iDkh8evRD88eXTzsFZSLBCpnbVHGoWcLD29GGh_cGaSBXPsIX4xGoOsqEnIv1BTcGnpUQrX8LALwA_nl0EPdA6-m0mt0XxzJPzGsltdbwARl3l0gOJBwTuMbzYnQHccf0VbNkcfd5GzOKkA_cFVipkXXsupPDgzLyz4Qjl0834gzc0wzpbv307VyA8B3WZpiCddqPgtyQh_egbmvHsXOg&__tn__=%2CO%2CP-R,Success
21,https://www.facebook.com/groups/1976889476160045/user/100028263319028/?__cft__[0]=AZX9wTMdK62YeynHTmtXCKD4J1ec1zNk4ui_Dy4kdO970XH_4qTWvSTmTsC8QnD2AiU49TIcglun4TLXkGqcNuy4Q1hX7IRv8pUMdi4pLxQJLVJW_G1TtdCtnHets7iXei6a3v0me4Qj5YpBgZR12GDXDq36wYIvTAXE0r_Svg25d5mATsQAQnIr5IxcfhkEelGLzOYPzxZOURKEdhOg7dLt&__tn__=-UC%2CP-R,Nguyễn Duy Long,Thành viên,11 tháng 11 lúc 22:40,"Đi đu idol, dầm mưa ướt đồ 
Quá đã 
Cảm ơn anh Rai Đơ ","{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/466518466_1612524033033025_4207413725929007027_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=8BSd5hCW4SUQ7kNvgEVK9PG&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=A2uCUj1LgLO3aD-5U4vu2YP&oh=00_AYA_SJSUzCpNpM97T1f5_S2xezqSblKcDBlT1w4jdMlMMw&oe=673A21CC', 1: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/466149296_1612523883033040_8594247463748996055_n.jpg?stp=dst-jpg_p417x417&_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=6MrnQeHGse8Q7kNvgGnswMY&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=A2uCUj1LgLO3aD-5U4vu2YP&oh=00_AYATBSNZf1AB_ce99CTctw1ENOgNzXmI_LftlPdXcqBIig&oe=673A2A8E', 2: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/466668173_1612523903033038_2542634862872294783_n.jpg?stp=dst-jpg_p417x417&_nc_cat=101&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=rUud5fkC7QkQ7kNvgFSEoSm&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=A2uCUj1LgLO3aD-5U4vu2YP&oh=00_AYBqpE-Bk4IWqGg42uXDPDpGNzizh1b3joeqy570c8tcBQ&oe=673A43BA'}",https://www.facebook.com/groups/ued.confessions/posts/%C4%91i-%C4%91u-idol-d%E1%BA%A7m-m%C6%B0a-%C6%B0%E1%BB%9Bt-%C4%91%E1%BB%93-qu%C3%A1-%C4%91%C3%A3-%EF%B8%8F%EF%B8%8Fc%E1%BA%A3m-%C6%A1n-anh-rai-%C4%91%C6%A1-/2053285381853787/?__cft__[0]=AZX9wTMdK62YeynHTmtXCKD4J1ec1zNk4ui_Dy4kdO970XH_4qTWvSTmTsC8QnD2AiU49TIcglun4TLXkGqcNuy4Q1hX7IRv8pUMdi4pLxQJLVJW_G1TtdCtnHets7iXei6a3v0me4Qj5YpBgZR12GDXDq36wYIvTAXE0r_Svg25d5mATsQAQnIr5IxcfhkEelGLzOYPzxZOURKEdhOg7dLt&__tn__=%2CO%2CP-R,Success
22,No link,Người tham gia ẩn danh,Thành viên,Hôm qua lúc 06:27,"Mình pass áo CLB Viết chữ đẹp.
Bạn nào có nhu cầu chấm bài mình ib nha",No picture,https://www.facebook.com/groups/ued.confessions/posts/m%C3%ACnh-pass-%C3%A1o-clb-vi%E1%BA%BFt-ch%E1%BB%AF-%C4%91%E1%BA%B9p-b%E1%BA%A1n-n%C3%A0o-c%C3%B3-nhu-c%E1%BA%A7u-ch%E1%BA%A5m-b%C3%A0i-m%C3%ACnh-ib-nha/2053531761829149/?__cft__[0]=AZWk-MZVO0idX7ydpUYo9SGW7UWh_WR5--P-aRASYDpozXBzcPj7q3DviN52tQl05az9IazQXhBVpM3rUXlrQ_3bbEwUUGOyuPcY4UhNF7luEgwQtqV2uD4VHi8w58ZWkEfUl8IjgBTYRt94Bi2nVJeIcs8Y5cGWGJ7eAB8_-6W6COaicMYTv84ppRNuBCT3PUEs2QmDeF4tsiQg43x4TAItsUOrLr_K-9KxW2yOq_U9Sg&__tn__=%2CO%2CP-R,Success
